====== H (10) into Ni-20Cr+FLiNaK-5%EuF3        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni-20Cr
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.969E22 atoms/cm3 = 8.522 g/cm3
  Layer # 1- Ni = 77.9 Atomic Percent = 79.9 Mass Percent
  Layer # 1- Cr = 22.0 Atomic Percent = 20.0 Mass Percent
Layer  2 : FLiNaK-5%EuF3
Layer Width =     2.E+05 A ;
  Layer # 2- Density = 5.575E22 atoms/cm3 = 1.971 g/cm3
  Layer # 2- Li = 22.7 Atomic Percent = 7.42 Mass Percent
  Layer # 2- Na = 5.63 Atomic Percent = 6.07 Mass Percent
  Layer # 2-  K = 20.5 Atomic Percent = 37.7 Mass Percent
  Layer # 2- Eu = .51  Atomic Percent = 3.64 Mass Percent
  Layer # 2-  F = 50.5 Atomic Percent = 45.0 Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 29 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500001.E-02  2284.02E-09  1067.85E-08  
100000.E-01  8410.08E-09  1618.35E-08  
150000.E-01  6828.07E-09  1616.39E-08  
200000.E-01  8552.09E-09  2437.77E-08  
250000.E-01  9262.09E-09  2234.21E-08  
300000.E-01  9202.09E-09  2330.97E-08  
350000.E-01  9530.10E-09  2743.06E-08  
400000.E-01  9490.09E-09  2231.07E-08  
450000.E-01  9614.10E-09  2517.41E-08  
500000.E-01  9746.10E-09  2409.41E-08  
550000.E-01  9738.10E-09  2079.04E-08  
600000.E-01  1007.01E-08  2599.36E-08  
650000.E-01  1010.01E-08  1933.94E-08  
700000.E-01  1034.81E-08  3013.54E-08  
750000.E-01  1037.21E-08  2443.90E-08  
800000.E-01  1024.61E-08  2041.15E-08  
850000.E-01  1053.41E-08  2424.30E-08  
900000.E-01  1076.41E-08  2691.24E-08  
950000.E-01  1075.41E-08  2464.54E-08  
100000.E+00  1100.81E-08  3064.56E-08  
105000.E+00  1119.81E-08  2583.49E-08  
110000.E+00  1106.61E-08  2712.67E-08  
115000.E+00  1129.41E-08  2994.01E-08  
120000.E+00  1142.21E-08  2831.00E-08  
125000.E+00  1144.61E-08  2455.45E-08  
130000.E+00  1205.81E-08  2747.26E-08  
135000.E+00  1190.21E-08  2918.96E-08  
140000.E+00  1219.61E-08  2973.32E-08  
145000.E+00  1262.81E-08  2773.93E-08  
150000.E+00  1276.81E-08  3434.89E-08  
155000.E+00  1274.81E-08  3432.09E-08  
160000.E+00  1340.01E-08  2476.80E-08  
165000.E+00  1335.61E-08  2948.41E-08  
170000.E+00  1371.61E-08  3548.39E-08  
175000.E+00  1404.81E-08  3130.91E-08  
180000.E+00  1455.41E-08  2937.25E-08  
185000.E+00  1449.61E-08  3408.71E-08  
190000.E+00  1508.82E-08  3717.39E-08  
195000.E+00  1484.41E-08  3830.82E-08  
200000.E+00  1555.02E-08  3785.48E-08  
205000.E+00  1601.62E-08  3834.09E-08  
210000.E+00  1644.02E-08  3304.89E-08  
215000.E+00  1690.22E-08  3677.05E-08  
220000.E+00  1731.02E-08  4615.75E-08  
225000.E+00  1796.42E-08  4081.21E-08  
230000.E+00  1825.62E-08  3496.53E-08  
235000.E+00  1920.02E-08  5044.25E-08  
240000.E+00  2013.22E-08  4465.93E-08  
245000.E+00  2014.82E-08  4127.39E-08  
250000.E+00  2142.42E-08  4597.70E-08  
255000.E+00  2226.62E-08  5289.38E-08  
260000.E+00  2336.22E-08  4588.69E-08  
265000.E+00  2443.22E-08  5790.09E-08  
270000.E+00  2557.23E-08  5634.82E-08  
275000.E+00  2737.63E-08  5367.45E-08  
280000.E+00  2867.23E-08  6127.51E-08  
285000.E+00  3042.43E-08  6144.90E-08  
290000.E+00  3270.43E-08  6992.36E-08  
295000.E+00  3554.24E-08  7433.70E-08  
300000.E+00  5128.05E-08  1052.02E-07  
305000.E+00  3416.03E-09  6325.37E-09  
310000.E+00  9094.09E-09  1664.50E-08  
315000.E+00  1109.61E-08  2257.30E-08  
320000.E+00  1160.61E-08  2385.32E-08  
325000.E+00  1204.61E-08  2385.27E-08  
330000.E+00  1298.41E-08  2371.54E-08  
